dataset,variant,seed,split,class,brightness_category,n,accuracy,macro_F1,QWK,ECE,NLL,Brier
APTOS,adaptive_feather,123,hold_out,0,Bright,16,1.0,0.2,,0.025726318359375,0.026238860562443733,0.0015087127685546875
APTOS,adaptive_feather,123,hold_out,0,Dark,96,0.9583333333333334,0.19574468085106383,0.0,0.04484630996982257,0.13454927504062653,0.05718507245182991
APTOS,adaptive_feather,123,hold_out,0,ExtremelyDark,55,0.9818181818181818,0.1981651376146789,0.0,0.07125786434520374,0.11774014681577682,0.04702677205204964
APTOS,adaptive_feather,123,hold_out,0,Normal,166,0.9939759036144579,0.19939577039274925,0.0,0.04919431205973568,0.07896226644515991,0.02344593033194542
APTOS,adaptive_feather,123,hold_out,0,VeryDark,27,0.9629629629629629,0.19622641509433963,0.0,0.07437064912584093,0.14787042140960693,0.06333210319280624
APTOS,adaptive_feather,123,hold_out,1,Bright,4,0.25,0.08,0.0,0.41317369788885117,1.5686450004577637,0.8653430342674255
APTOS,adaptive_feather,123,hold_out,1,Dark,36,0.7222222222222222,0.16774193548387098,0.0,0.1826620217826631,0.6944169402122498,0.39116957783699036
APTOS,adaptive_feather,123,hold_out,1,ExtremelyDark,5,0.2,0.06666666666666667,0.0,0.6735152125358582,1.953988790512085,1.104099988937378
APTOS,adaptive_feather,123,hold_out,1,Normal,18,0.5555555555555556,0.14285714285714285,0.0,0.14962648020850286,1.0487399101257324,0.584001898765564
APTOS,adaptive_feather,123,hold_out,1,VeryDark,11,0.6363636363636364,0.15555555555555556,0.0,0.3446886024691842,0.8472877740859985,0.5466940402984619
APTOS,adaptive_feather,123,hold_out,2,Bright,17,0.9411764705882353,0.19393939393939394,0.0,0.1817251198432025,0.29655948281288147,0.12411492317914963
APTOS,adaptive_feather,123,hold_out,2,Dark,78,0.717948717948718,0.16716417910447762,0.0,0.13401461526369438,0.7392585277557373,0.40476956963539124
APTOS,adaptive_feather,123,hold_out,2,ExtremelyDark,23,0.9565217391304348,0.19555555555555554,0.0,0.26358408383701154,0.41835522651672363,0.19240808486938477
APTOS,adaptive_feather,123,hold_out,2,Normal,54,0.7777777777777778,0.175,0.0,0.16847868650047867,0.7154591083526611,0.3645229935646057
APTOS,adaptive_feather,123,hold_out,2,VeryDark,26,0.6153846153846154,0.15238095238095237,0.0,0.21418089706164137,0.8094823360443115,0.4485284984111786
APTOS,adaptive_feather,123,hold_out,3,Bright,2,0.0,0.0,0.0,0.6879079043865204,2.5510244369506836,1.2518279552459717
APTOS,adaptive_feather,123,hold_out,3,Dark,14,0.42857142857142855,0.12,0.0,0.3439970250640596,1.388079285621643,0.7702536582946777
APTOS,adaptive_feather,123,hold_out,3,ExtremelyDark,6,0.3333333333333333,0.1,0.0,0.6006357818841934,1.598166823387146,0.9238182902336121
APTOS,adaptive_feather,123,hold_out,3,Normal,9,0.0,0.0,0.0,0.6613389684094323,2.1461434364318848,1.1542640924453735
APTOS,adaptive_feather,123,hold_out,3,VeryDark,8,0.625,0.15384615384615385,0.0,0.38064926490187645,1.0420082807540894,0.5613828897476196
APTOS,adaptive_feather,123,hold_out,4,Bright,2,1.0,0.2,,0.3567284792661667,0.4813365638256073,0.23389868438243866
APTOS,adaptive_feather,123,hold_out,4,Dark,25,0.56,0.14358974358974358,0.0,0.21855934977531435,1.2273842096328735,0.656227171421051
APTOS,adaptive_feather,123,hold_out,4,ExtremelyDark,7,0.2857142857142857,0.08888888888888888,0.0,0.5018606611660548,2.072279214859009,1.0356390476226807
APTOS,adaptive_feather,123,hold_out,4,Normal,14,0.35714285714285715,0.10526315789473684,0.0,0.4756408525364739,1.2862474918365479,0.6817926168441772
APTOS,adaptive_feather,123,hold_out,4,VeryDark,10,0.7,0.16470588235294117,0.0,0.4863218367099762,1.229096531867981,0.6224086880683899
