source_dataset,external_dataset,variant,seed,class,brightness_category,n,accuracy,macro_F1,weighted_F1,balanced_accuracy,QWK,top2_accuracy,ECE,NLL,Brier
APTOS,MESSIDOR2,adaptive_feather,2024,0,Bright,117,1.0,0.2,1.0,1.0,,1.0,0.049465286426055126,0.052571140229701996,0.007791409734636545
APTOS,MESSIDOR2,adaptive_feather,2024,0,Dark,421,0.997624703087886,0.19976218787158145,0.9988109393579072,0.997624703087886,0.0,1.0,0.09577821453506759,0.11132845282554626,0.028488358482718468
APTOS,MESSIDOR2,adaptive_feather,2024,0,ExtremelyDark,84,0.9880952380952381,0.19880239520958082,0.994011976047904,0.9880952380952381,0.0,1.0,0.06911988769258773,0.09109312295913696,0.024413397535681725
APTOS,MESSIDOR2,adaptive_feather,2024,0,Normal,171,0.9941520467836257,0.19941348973607037,0.9970674486803519,0.9941520467836257,0.0,1.0,0.07773434924103363,0.10036345571279526,0.028017539530992508
APTOS,MESSIDOR2,adaptive_feather,2024,0,VeryBright,4,1.0,0.2,1.0,1.0,,1.0,0.036690786480903625,0.037797316908836365,0.003581705968827009
APTOS,MESSIDOR2,adaptive_feather,2024,0,VeryDark,220,0.9954545454545455,0.19954441913439636,0.9977220956719818,0.9954545454545455,0.0,1.0,0.09453207647258584,0.11531122028827667,0.03480977192521095
APTOS,MESSIDOR2,adaptive_feather,2024,1,Bright,76,0.0,0.0,0.0,0.0,0.0,0.32894736842105265,0.9303203829024967,4.472383975982666,1.829728603363037
APTOS,MESSIDOR2,adaptive_feather,2024,1,Dark,86,0.0,0.0,0.0,0.0,0.0,0.36046511627906974,0.8806061453597489,3.609459400177002,1.7079863548278809
APTOS,MESSIDOR2,adaptive_feather,2024,1,ExtremelyDark,6,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.929823080698649,4.182147026062012,1.818242073059082
APTOS,MESSIDOR2,adaptive_feather,2024,1,Normal,70,0.0,0.0,0.0,0.0,0.0,0.2714285714285714,0.8962969856602805,4.177978038787842,1.765334129333496
APTOS,MESSIDOR2,adaptive_feather,2024,1,VeryBright,6,0.0,0.0,0.0,0.0,0.0,0.0,0.9312659303347269,5.006350994110107,1.8555442094802856
APTOS,MESSIDOR2,adaptive_feather,2024,1,VeryDark,26,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.8788971465367539,3.3542795181274414,1.658976435661316
APTOS,MESSIDOR2,adaptive_feather,2024,2,Bright,87,0.011494252873563218,0.004545454545454545,0.022727272727272728,0.011494252873563218,0.0,0.05747126436781609,0.868789153537531,5.033726692199707,1.7530323266983032
APTOS,MESSIDOR2,adaptive_feather,2024,2,Dark,109,0.009174311926605505,0.0036363636363636364,0.01818181818181818,0.009174311926605505,0.0,0.03669724770642202,0.852822200147384,5.072832107543945,1.72704017162323
APTOS,MESSIDOR2,adaptive_feather,2024,2,ExtremelyDark,9,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.8855582541889614,5.510781764984131,1.7999804019927979
APTOS,MESSIDOR2,adaptive_feather,2024,2,Normal,106,0.0,0.0,0.0,0.0,0.0,0.0660377358490566,0.8307396884796754,4.915201663970947,1.6799620389938354
APTOS,MESSIDOR2,adaptive_feather,2024,2,VeryBright,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6599266976118088,3.4251880645751953,1.4781079292297363
APTOS,MESSIDOR2,adaptive_feather,2024,2,VeryDark,34,0.029411764705882353,0.011428571428571429,0.05714285714285714,0.029411764705882353,0.0,0.029411764705882353,0.8314607213525211,5.517552852630615,1.7219538688659668
APTOS,MESSIDOR2,adaptive_feather,2024,3,Bright,23,0.043478260869565216,0.016666666666666666,0.08333333333333333,0.043478260869565216,0.0,0.6956521739130435,0.7243605294953221,2.325807571411133,1.337641954421997
APTOS,MESSIDOR2,adaptive_feather,2024,3,Dark,20,0.25,0.08,0.4,0.25,0.0,0.85,0.4720555156469345,1.8115336894989014,1.0180150270462036
APTOS,MESSIDOR2,adaptive_feather,2024,3,ExtremelyDark,2,0.5,0.13333333333333333,0.6666666666666666,0.5,0.0,1.0,0.6567769050598145,1.8676583766937256,0.9874240756034851
APTOS,MESSIDOR2,adaptive_feather,2024,3,Normal,25,0.2,0.06666666666666667,0.33333333333333326,0.2,0.0,0.56,0.5154396253824234,2.185413360595703,1.1216529607772827
APTOS,MESSIDOR2,adaptive_feather,2024,3,VeryBright,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4062725603580475,1.973684549331665,1.0098028182983398
APTOS,MESSIDOR2,adaptive_feather,2024,3,VeryDark,4,0.25,0.08,0.4,0.25,0.0,0.25,0.4532614201307297,1.477731704711914,0.8024038076400757
APTOS,MESSIDOR2,adaptive_feather,2024,4,Bright,3,0.3333333333333333,0.1,0.5,0.3333333333333333,0.0,0.3333333333333333,0.5927830139795939,2.3550267219543457,1.0223380327224731
APTOS,MESSIDOR2,adaptive_feather,2024,4,Dark,14,0.07142857142857142,0.026666666666666665,0.13333333333333333,0.07142857142857142,0.0,0.2857142857142857,0.7485250234603882,3.3772358894348145,1.4221007823944092
APTOS,MESSIDOR2,adaptive_feather,2024,4,ExtremelyDark,5,0.0,0.0,0.0,0.0,0.0,0.0,0.6945944964885712,4.387726783752441,1.5118310451507568
APTOS,MESSIDOR2,adaptive_feather,2024,4,Normal,8,0.0,0.0,0.0,0.0,0.0,0.25,0.6209120526909828,3.019545793533325,1.2787238359451294
APTOS,MESSIDOR2,adaptive_feather,2024,4,VeryDark,5,0.0,0.0,0.0,0.0,0.0,0.2,0.7477923035621644,4.173641204833984,1.5087220668792725
