source_dataset,external_dataset,variant,seed,class,brightness_category,n,accuracy,macro_F1,weighted_F1,balanced_accuracy,QWK,top2_accuracy,ECE,NLL,Brier
APTOS,MESSIDOR2,fixed_feather,123,0,Bright,117,1.0,0.2,1.0,1.0,,1.0,0.06254646003755748,0.06741106510162354,0.012044062837958336
APTOS,MESSIDOR2,fixed_feather,123,0,Dark,421,1.0,0.2,1.0,1.0,,1.0,0.0851200644165773,0.09346870332956314,0.021067094057798386
APTOS,MESSIDOR2,fixed_feather,123,0,ExtremelyDark,84,1.0,0.2,1.0,1.0,,1.0,0.0522328047525315,0.05494130775332451,0.007381065282970667
APTOS,MESSIDOR2,fixed_feather,123,0,Normal,171,1.0,0.2,1.0,1.0,,1.0,0.07002535619233784,0.07759219408035278,0.017719879746437073
APTOS,MESSIDOR2,fixed_feather,123,0,VeryBright,4,1.0,0.2,1.0,1.0,,1.0,0.04213191568851471,0.0432562418282032,0.0034112962894141674
APTOS,MESSIDOR2,fixed_feather,123,0,VeryDark,220,1.0,0.2,1.0,1.0,,1.0,0.0844267948107286,0.09565764665603638,0.02589702047407627
APTOS,MESSIDOR2,fixed_feather,123,1,Bright,76,0.0,0.0,0.0,0.0,0.0,0.9078947368421053,0.9240056793940695,3.398940324783325,1.771654486656189
APTOS,MESSIDOR2,fixed_feather,123,1,Dark,86,0.0,0.0,0.0,0.0,0.0,0.7790697674418605,0.9063125959662504,3.3470873832702637,1.7285674810409546
APTOS,MESSIDOR2,fixed_feather,123,1,ExtremelyDark,6,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.9116454223791758,3.456211805343628,1.755751132965088
APTOS,MESSIDOR2,fixed_feather,123,1,Normal,70,0.0,0.0,0.0,0.0,0.0,0.8285714285714286,0.9053632340260914,3.3962903022766113,1.732418179512024
APTOS,MESSIDOR2,fixed_feather,123,1,VeryBright,6,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.9011119306087494,3.3021554946899414,1.7414804697036743
APTOS,MESSIDOR2,fixed_feather,123,1,VeryDark,26,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.88714232811561,3.178337574005127,1.6599256992340088
APTOS,MESSIDOR2,fixed_feather,123,2,Bright,87,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.8673108610613594,5.379544734954834,1.747423768043518
APTOS,MESSIDOR2,fixed_feather,123,2,Dark,109,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.8700044111374321,5.77290153503418,1.7593531608581543
APTOS,MESSIDOR2,fixed_feather,123,2,ExtremelyDark,9,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.860187119907803,5.173372268676758,1.7034486532211304
APTOS,MESSIDOR2,fixed_feather,123,2,Normal,106,0.0,0.0,0.0,0.0,0.0,0.0660377358490566,0.8399272684781056,5.730583190917969,1.7109596729278564
APTOS,MESSIDOR2,fixed_feather,123,2,VeryBright,2,0.0,0.0,0.0,0.0,0.0,0.0,0.725318968296051,3.762685775756836,1.528970718383789
APTOS,MESSIDOR2,fixed_feather,123,2,VeryDark,34,0.029411764705882353,0.011428571428571429,0.05714285714285714,0.029411764705882353,0.0,0.029411764705882353,0.8760836124420166,5.809615612030029,1.7576287984848022
APTOS,MESSIDOR2,fixed_feather,123,3,Bright,23,0.043478260869565216,0.016666666666666666,0.08333333333333333,0.043478260869565216,0.0,0.43478260869565216,0.651621313198753,2.586928367614746,1.3428899049758911
APTOS,MESSIDOR2,fixed_feather,123,3,Dark,20,0.15,0.05217391304347826,0.2608695652173913,0.15,0.0,0.3,0.6035303726792335,2.39776349067688,1.2306382656097412
APTOS,MESSIDOR2,fixed_feather,123,3,ExtremelyDark,2,0.0,0.0,0.0,0.0,0.0,0.5,0.76457479596138,2.3721890449523926,1.3403784036636353
APTOS,MESSIDOR2,fixed_feather,123,3,Normal,25,0.12,0.04285714285714286,0.21428571428571427,0.12,0.0,0.4,0.529028349518776,2.4041738510131836,1.1933215856552124
APTOS,MESSIDOR2,fixed_feather,123,3,VeryBright,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3751225173473358,3.3593289852142334,1.2345969676971436
APTOS,MESSIDOR2,fixed_feather,123,3,VeryDark,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5466118007898331,2.319467067718506,1.2061434984207153
APTOS,MESSIDOR2,fixed_feather,123,4,Bright,3,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.496135930220286,2.0787694454193115,1.0124353170394897
APTOS,MESSIDOR2,fixed_feather,123,4,Dark,14,0.07142857142857142,0.026666666666666665,0.13333333333333333,0.07142857142857142,0.0,0.14285714285714285,0.7594927410994257,3.852813243865967,1.530680775642395
APTOS,MESSIDOR2,fixed_feather,123,4,ExtremelyDark,5,0.0,0.0,0.0,0.0,0.0,0.0,0.7298225998878479,5.0099101066589355,1.5915822982788086
APTOS,MESSIDOR2,fixed_feather,123,4,Normal,8,0.0,0.0,0.0,0.0,0.0,0.125,0.6643579751253128,3.4103410243988037,1.418233036994934
APTOS,MESSIDOR2,fixed_feather,123,4,VeryDark,5,0.0,0.0,0.0,0.0,0.0,0.0,0.8604135632514954,4.887010097503662,1.7290470600128174
