source_dataset,external_dataset,variant,seed,class,brightness_category,n,accuracy,macro_F1,weighted_F1,balanced_accuracy,QWK,top2_accuracy,ECE,NLL,Brier
APTOS,MESSIDOR2,hard_mask,2024,0,Bright,117,1.0,0.2,1.0,1.0,,1.0,0.045349559213361174,0.0475996732711792,0.005919867195188999
APTOS,MESSIDOR2,hard_mask,2024,0,Dark,421,1.0,0.2,1.0,1.0,,1.0,0.07917030930802262,0.08711009472608566,0.019822983071208
APTOS,MESSIDOR2,hard_mask,2024,0,ExtremelyDark,84,1.0,0.2,1.0,1.0,,1.0,0.07455937564373015,0.08093869686126709,0.01624315045773983
APTOS,MESSIDOR2,hard_mask,2024,0,Normal,171,1.0,0.2,1.0,1.0,,1.0,0.05846617514627021,0.06317762285470963,0.011573790572583675
APTOS,MESSIDOR2,hard_mask,2024,0,VeryBright,4,1.0,0.2,1.0,1.0,,1.0,0.031072422862052917,0.03222537785768509,0.0034111319109797478
APTOS,MESSIDOR2,hard_mask,2024,0,VeryDark,220,1.0,0.2,1.0,1.0,,1.0,0.08569925305518238,0.09549052268266678,0.02403884008526802
APTOS,MESSIDOR2,hard_mask,2024,1,Bright,76,0.0,0.0,0.0,0.0,0.0,0.7631578947368421,0.9397436164711651,3.945709228515625,1.8261029720306396
APTOS,MESSIDOR2,hard_mask,2024,1,Dark,86,0.0,0.0,0.0,0.0,0.0,0.7325581395348837,0.909240152253661,3.5098540782928467,1.7371524572372437
APTOS,MESSIDOR2,hard_mask,2024,1,ExtremelyDark,6,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.9477118651072184,3.8462867736816406,1.8460288047790527
APTOS,MESSIDOR2,hard_mask,2024,1,Normal,70,0.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.9243629447051457,3.867471694946289,1.7965812683105469
APTOS,MESSIDOR2,hard_mask,2024,1,VeryBright,6,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.9455463886260986,3.903964042663574,1.8444465398788452
APTOS,MESSIDOR2,hard_mask,2024,1,VeryDark,26,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.9041728171018454,3.262307643890381,1.7085368633270264
APTOS,MESSIDOR2,hard_mask,2024,2,Bright,87,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,0.8829815473364688,4.156405448913574,1.7218480110168457
APTOS,MESSIDOR2,hard_mask,2024,2,Dark,109,0.009174311926605505,0.0036363636363636364,0.01818181818181818,0.009174311926605505,0.0,0.09174311926605505,0.8856136350456728,4.685003280639648,1.7591952085494995
APTOS,MESSIDOR2,hard_mask,2024,2,ExtremelyDark,9,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.8370737499660915,4.328878402709961,1.6712374687194824
APTOS,MESSIDOR2,hard_mask,2024,2,Normal,106,0.018867924528301886,0.007407407407407407,0.037037037037037035,0.018867924528301886,0.0,0.11320754716981132,0.8421502492900165,4.580368518829346,1.6945877075195312
APTOS,MESSIDOR2,hard_mask,2024,2,VeryBright,2,0.0,0.0,0.0,0.0,0.0,0.5,0.7371137142181396,2.8364179134368896,1.4576548337936401
APTOS,MESSIDOR2,hard_mask,2024,2,VeryDark,34,0.0,0.0,0.0,0.0,0.0,0.0,0.891515000778086,5.113831996917725,1.7919281721115112
APTOS,MESSIDOR2,hard_mask,2024,3,Bright,23,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.736312298671059,3.600614070892334,1.53091561794281
APTOS,MESSIDOR2,hard_mask,2024,3,Dark,20,0.05,0.019047619047619046,0.09523809523809523,0.05,0.0,0.35,0.6403256267309189,2.8331141471862793,1.3019906282424927
APTOS,MESSIDOR2,hard_mask,2024,3,ExtremelyDark,2,0.0,0.0,0.0,0.0,0.0,0.0,0.7624817490577698,3.541104793548584,1.5030524730682373
APTOS,MESSIDOR2,hard_mask,2024,3,Normal,25,0.0,0.0,0.0,0.0,0.0,0.24,0.6636966013908387,3.227696418762207,1.4097466468811035
APTOS,MESSIDOR2,hard_mask,2024,3,VeryBright,1,0.0,0.0,0.0,0.0,0.0,0.0,0.40703433752059937,2.686462640762329,1.1792391538619995
APTOS,MESSIDOR2,hard_mask,2024,3,VeryDark,4,0.0,0.0,0.0,0.0,0.0,0.5,0.5645067393779755,2.4570682048797607,1.1384966373443604
APTOS,MESSIDOR2,hard_mask,2024,4,Bright,3,0.6666666666666666,0.16,0.8000000000000002,0.6666666666666666,0.0,0.6666666666666666,0.6021234889825184,1.532303810119629,0.7820164561271667
APTOS,MESSIDOR2,hard_mask,2024,4,Dark,14,0.14285714285714285,0.05,0.25,0.14285714285714285,0.0,0.6428571428571429,0.6998731919697353,2.8131394386291504,1.329898476600647
APTOS,MESSIDOR2,hard_mask,2024,4,ExtremelyDark,5,0.0,0.0,0.0,0.0,0.0,0.2,0.8947699189186096,4.251102447509766,1.7735666036605835
APTOS,MESSIDOR2,hard_mask,2024,4,Normal,8,0.0,0.0,0.0,0.0,0.0,0.5,0.7399900779128075,3.0978312492370605,1.4153016805648804
APTOS,MESSIDOR2,hard_mask,2024,4,VeryDark,5,0.0,0.0,0.0,0.0,0.0,0.6,0.8632891297340393,3.5390231609344482,1.6857883930206299
