variant,seed,split,class,brightness_category,n,accuracy,macro_F1,QWK,ECE,NLL,Brier
hard_mask,42,hold_out,0,Bright,16,1.0,0.2,,0.01682424545288086,0.017017800360918045,0.0005367544945329428
hard_mask,42,hold_out,0,Dark,96,0.9583333333333334,0.19574468085106383,0.0,0.042940594255924225,0.16538314521312714,0.06369275599718094
hard_mask,42,hold_out,0,ExtremelyDark,55,0.9818181818181818,0.1981651376146789,0.0,0.08033835779536853,0.12996172904968262,0.05065916106104851
hard_mask,42,hold_out,0,Normal,166,0.9939759036144579,0.19939577039274925,0.0,0.04051815045167165,0.06735695898532867,0.020755525678396225
hard_mask,42,hold_out,0,VeryDark,27,0.9259259259259259,0.19230769230769232,0.0,0.10238261576052066,0.15875060856342316,0.0729614794254303
hard_mask,42,hold_out,1,Bright,4,0.25,0.08,0.0,0.3625485971570015,1.343653678894043,0.7992504835128784
hard_mask,42,hold_out,1,Dark,36,0.7222222222222222,0.16774193548387098,0.0,0.193190600309107,0.7451820969581604,0.40194958448410034
hard_mask,42,hold_out,1,ExtremelyDark,5,0.2,0.06666666666666667,0.0,0.6753192722797394,2.0748634338378906,1.1237609386444092
hard_mask,42,hold_out,1,Normal,18,0.5,0.13333333333333333,0.0,0.25896262294716305,1.0955244302749634,0.6172295808792114
hard_mask,42,hold_out,1,VeryDark,11,0.7272727272727273,0.16842105263157894,0.0,0.16508534279736603,0.7457645535469055,0.41235941648483276
hard_mask,42,hold_out,2,Bright,17,0.9411764705882353,0.19393939393939394,0.0,0.2347828605595757,0.38975855708122253,0.1788317859172821
hard_mask,42,hold_out,2,Dark,78,0.6794871794871795,0.1618320610687023,0.0,0.09377521658555056,0.8026307225227356,0.4347401559352875
hard_mask,42,hold_out,2,ExtremelyDark,23,0.9130434782608695,0.19090909090909092,0.0,0.28253509428190154,0.510271430015564,0.2435983568429947
hard_mask,42,hold_out,2,Normal,54,0.7037037037037037,0.16521739130434782,0.0,0.15227966452086414,0.7339451909065247,0.38453954458236694
hard_mask,42,hold_out,2,VeryDark,26,0.46153846153846156,0.12631578947368421,0.0,0.2586035430431366,1.0266789197921753,0.5985784530639648
hard_mask,42,hold_out,3,Bright,2,0.5,0.13333333333333333,0.0,0.5683829188346863,2.235922336578369,0.9366841912269592
hard_mask,42,hold_out,3,Dark,14,0.42857142857142855,0.12,0.0,0.2658641572509493,1.6198616027832031,0.7925477623939514
hard_mask,42,hold_out,3,ExtremelyDark,6,0.16666666666666666,0.05714285714285714,0.0,0.47581547498703,2.3864729404449463,1.1988524198532104
hard_mask,42,hold_out,3,Normal,9,0.1111111111111111,0.04,0.0,0.4294392466545105,1.8498117923736572,0.930568277835846
hard_mask,42,hold_out,3,VeryDark,8,0.75,0.17142857142857143,0.0,0.33603550493717194,1.1050548553466797,0.5043593645095825
hard_mask,42,hold_out,4,Bright,2,0.5,0.13333333333333333,0.0,0.01687145233154297,1.0495575666427612,0.6284100413322449
hard_mask,42,hold_out,4,Dark,25,0.4,0.11428571428571428,0.0,0.2563804769515991,1.3643609285354614,0.7706314325332642
hard_mask,42,hold_out,4,ExtremelyDark,7,0.42857142857142855,0.12,0.0,0.5011672803333828,1.882814645767212,0.7751389741897583
hard_mask,42,hold_out,4,Normal,14,0.35714285714285715,0.10526315789473684,0.0,0.365915236728532,1.4247525930404663,0.7852644324302673
hard_mask,42,hold_out,4,VeryDark,10,0.6,0.15,0.0,0.270598217844963,0.9705365896224976,0.5286029577255249
