dataset,variant,seed,split,class,brightness_category,n,accuracy,macro_F1,QWK,ECE,NLL,Brier
APTOS,no_mask,42,hold_out,0,Bright,16,1.0,0.2,,0.06832805275917053,0.07335679978132248,0.012169428169727325
APTOS,no_mask,42,hold_out,0,Dark,96,0.9583333333333334,0.19574468085106383,0.0,0.07699240930378437,0.2002367228269577,0.0719541534781456
APTOS,no_mask,42,hold_out,0,ExtremelyDark,55,0.9818181818181818,0.1981651376146789,0.0,0.08108629367568276,0.15365152060985565,0.05573680251836777
APTOS,no_mask,42,hold_out,0,Normal,166,0.9939759036144579,0.19939577039274925,0.0,0.09077982389065156,0.12625063955783844,0.03673984855413437
APTOS,no_mask,42,hold_out,0,VeryDark,27,0.9629629629629629,0.19622641509433963,0.0,0.11851671558839305,0.1538325399160385,0.060416724532842636
APTOS,no_mask,42,hold_out,1,Bright,4,0.25,0.08,0.0,0.5548127591609955,1.7122786045074463,0.9323949813842773
APTOS,no_mask,42,hold_out,1,Dark,36,0.6388888888888888,0.15593220338983052,0.0,0.2012665073076884,0.8450223803520203,0.4856008291244507
APTOS,no_mask,42,hold_out,1,ExtremelyDark,5,0.0,0.0,0.0,0.6798141002655029,2.0391345024108887,1.1419938802719116
APTOS,no_mask,42,hold_out,1,Normal,18,0.3888888888888889,0.11200000000000002,0.0,0.3630669431553947,1.2610316276550293,0.7500644326210022
APTOS,no_mask,42,hold_out,1,VeryDark,11,0.7272727272727273,0.16842105263157894,0.0,0.2440901344472712,0.7721181511878967,0.40101268887519836
APTOS,no_mask,42,hold_out,2,Bright,17,0.9411764705882353,0.19393939393939394,0.0,0.2382600132156821,0.31344521045684814,0.1373547911643982
APTOS,no_mask,42,hold_out,2,Dark,78,0.7692307692307693,0.17391304347826086,0.0,0.13141350944836935,0.6816650629043579,0.3499433100223541
APTOS,no_mask,42,hold_out,2,ExtremelyDark,23,0.9565217391304348,0.19555555555555554,0.0,0.28291246683701227,0.45604225993156433,0.21800529956817627
APTOS,no_mask,42,hold_out,2,Normal,54,0.7962962962962963,0.17731958762886596,0.0,0.19510416520966425,0.6464808583259583,0.3310680687427521
APTOS,no_mask,42,hold_out,2,VeryDark,26,0.6923076923076923,0.16363636363636364,0.0,0.16292376013902518,0.7740482091903687,0.4244006276130676
APTOS,no_mask,42,hold_out,3,Bright,2,0.0,0.0,0.0,0.8099029958248138,2.8905510902404785,1.4264674186706543
APTOS,no_mask,42,hold_out,3,Dark,14,0.5,0.13333333333333333,0.0,0.26256424614361357,1.4133442640304565,0.7083528637886047
APTOS,no_mask,42,hold_out,3,ExtremelyDark,6,0.16666666666666666,0.05714285714285714,0.0,0.5934516141812006,2.589711904525757,1.2116788625717163
APTOS,no_mask,42,hold_out,3,Normal,9,0.4444444444444444,0.12307692307692308,0.0,0.3403547604878743,1.3021870851516724,0.6277472972869873
APTOS,no_mask,42,hold_out,3,VeryDark,8,0.25,0.08,0.0,0.4039059095084667,1.4576053619384766,0.8340073823928833
APTOS,no_mask,42,hold_out,4,Bright,2,0.5,0.13333333333333333,0.0,0.5503897666931152,1.1940958499908447,0.7524588108062744
APTOS,no_mask,42,hold_out,4,Dark,25,0.28,0.0875,0.0,0.4569215321540832,1.6452292203903198,0.9413416981697083
APTOS,no_mask,42,hold_out,4,ExtremelyDark,7,0.2857142857142857,0.08888888888888888,0.0,0.37745466828346247,1.9789613485336304,0.8611504435539246
APTOS,no_mask,42,hold_out,4,Normal,14,0.35714285714285715,0.10526315789473684,0.0,0.3192698167903083,1.9141849279403687,0.9338749051094055
APTOS,no_mask,42,hold_out,4,VeryDark,10,0.6,0.15,0.0,0.23500059247016908,0.9944530725479126,0.5147644281387329
