dataset,variant,seed,split,class,brightness_category,n,accuracy,macro_F1,QWK,ECE,NLL,Brier
EYEPACS,adaptive_feather,2024,hold_out,0,Bright,472,0.6059322033898306,0.15092348284960422,0.0,0.1676578563716957,0.9529656171798706,0.5475046038627625
EYEPACS,adaptive_feather,2024,hold_out,0,Dark,421,0.6247030878859857,0.15380116959064327,0.0,0.1637901363279361,0.9416487216949463,0.5340498685836792
EYEPACS,adaptive_feather,2024,hold_out,0,ExtremelyDark,332,0.5783132530120482,0.1465648854961832,0.0,0.11388050360851978,0.9669835567474365,0.5637359619140625
EYEPACS,adaptive_feather,2024,hold_out,0,Normal,381,0.5774278215223098,0.1464226289517471,0.0,0.12447896286884318,0.9633727669715881,0.5459353923797607
EYEPACS,adaptive_feather,2024,hold_out,0,VeryBright,205,0.5707317073170731,0.1453416149068323,0.0,0.14646673369698407,0.930561363697052,0.5429053902626038
EYEPACS,adaptive_feather,2024,hold_out,0,VeryDark,246,0.6138211382113821,0.1521410579345088,0.0,0.14242815068824508,0.8957204222679138,0.5178872346878052
EYEPACS,adaptive_feather,2024,hold_out,1,Bright,156,0.42948717948717946,0.12017937219730941,0.0,0.04450533242943959,1.0832048654556274,0.6241515874862671
EYEPACS,adaptive_feather,2024,hold_out,1,Dark,139,0.48201438848920863,0.13009708737864079,0.0,0.11285785012107959,1.0646873712539673,0.6161831617355347
EYEPACS,adaptive_feather,2024,hold_out,1,ExtremelyDark,119,0.5210084033613446,0.13701657458563538,0.0,0.13618082271403623,1.0367910861968994,0.5997328758239746
EYEPACS,adaptive_feather,2024,hold_out,1,Normal,131,0.4580152671755725,0.1256544502617801,0.0,0.08168789198380391,1.0551633834838867,0.6146965026855469
EYEPACS,adaptive_feather,2024,hold_out,1,VeryBright,75,0.3466666666666667,0.10297029702970298,0.0,0.11923014144102732,1.02897047996521,0.6262593865394592
EYEPACS,adaptive_feather,2024,hold_out,1,VeryDark,78,0.3974358974358974,0.11376146788990826,0.0,0.19735344231892857,1.1097784042358398,0.6651241183280945
EYEPACS,adaptive_feather,2024,hold_out,2,Bright,284,0.2605633802816901,0.08268156424581005,0.0,0.17908682419695482,1.481537103652954,0.8158246874809265
EYEPACS,adaptive_feather,2024,hold_out,2,Dark,233,0.2918454935622318,0.09036544850498339,0.0,0.17374580724428654,1.456905484199524,0.8107652068138123
EYEPACS,adaptive_feather,2024,hold_out,2,ExtremelyDark,214,0.24299065420560748,0.07819548872180451,0.0,0.20841120301841576,1.4679617881774902,0.8190969228744507
EYEPACS,adaptive_feather,2024,hold_out,2,Normal,238,0.2815126050420168,0.08786885245901639,0.0,0.18574792785303934,1.4554202556610107,0.7988306879997253
EYEPACS,adaptive_feather,2024,hold_out,2,VeryBright,114,0.14912280701754385,0.051908396946564885,0.0,0.29302698439150526,1.6304123401641846,0.8864721059799194
EYEPACS,adaptive_feather,2024,hold_out,2,VeryDark,139,0.31654676258992803,0.09617486338797814,0.0,0.1865799399159795,1.4142177104949951,0.7846522927284241
EYEPACS,adaptive_feather,2024,hold_out,3,Bright,130,0.4846153846153846,0.1305699481865285,0.0,0.16796175608268152,1.3847041130065918,0.6446601152420044
EYEPACS,adaptive_feather,2024,hold_out,3,Dark,98,0.46938775510204084,0.12777777777777777,0.0,0.16933704517325576,1.3961399793624878,0.6446462273597717
EYEPACS,adaptive_feather,2024,hold_out,3,ExtremelyDark,84,0.5476190476190477,0.14153846153846156,0.0,0.08670570719100179,1.2886021137237549,0.6144362688064575
EYEPACS,adaptive_feather,2024,hold_out,3,Normal,115,0.6521739130434783,0.15789473684210525,0.0,0.11015552671059317,1.1102215051651,0.5213638544082642
EYEPACS,adaptive_feather,2024,hold_out,3,VeryBright,37,0.5945945945945946,0.14915254237288136,0.0,0.1765819167768633,1.1900758743286133,0.594590425491333
EYEPACS,adaptive_feather,2024,hold_out,3,VeryDark,67,0.47761194029850745,0.1292929292929293,0.0,0.10941810572325295,1.3556544780731201,0.6454022526741028
EYEPACS,adaptive_feather,2024,hold_out,4,Bright,111,0.45045045045045046,0.12422360248447203,0.0,0.16581488675899334,1.4670679569244385,0.6708618998527527
EYEPACS,adaptive_feather,2024,hold_out,4,Dark,127,0.5826771653543307,0.14726368159203979,0.0,0.14679668738147406,1.068405032157898,0.5150845646858215
EYEPACS,adaptive_feather,2024,hold_out,4,ExtremelyDark,80,0.575,0.146031746031746,0.0,0.1601595662534237,1.1136566400527954,0.5063416361808777
EYEPACS,adaptive_feather,2024,hold_out,4,Normal,111,0.6036036036036037,0.15056179775280898,0.0,0.06223967288796966,1.010982871055603,0.4942992627620697
EYEPACS,adaptive_feather,2024,hold_out,4,VeryBright,33,0.5454545454545454,0.1411764705882353,0.0,0.15183121598128116,1.2110424041748047,0.541275143623352
EYEPACS,adaptive_feather,2024,hold_out,4,VeryDark,61,0.5737704918032787,0.14583333333333331,0.0,0.1405315650779693,1.1474575996398926,0.5220726132392883
