source_dataset,external_dataset,variant,seed,class,brightness_category,n,accuracy,macro_F1,weighted_F1,balanced_accuracy,QWK,top2_accuracy,ECE,NLL,Brier
EYEPACS,MESSIDOR2,fixed_feather,123,0,Bright,117,0.6666666666666666,0.16,0.8,0.6666666666666666,0.0,0.9145299145299145,0.21752529775994456,0.9827552437782288,0.5431184768676758
EYEPACS,MESSIDOR2,fixed_feather,123,0,Dark,421,0.47030878859857483,0.12794830371567043,0.6397415185783522,0.47030878859857483,0.0,0.7767220902612827,0.0804060201322098,1.2563433647155762,0.6705000400543213
EYEPACS,MESSIDOR2,fixed_feather,123,0,ExtremelyDark,84,0.2261904761904762,0.07378640776699029,0.36893203883495146,0.2261904761904762,0.0,0.5952380952380952,0.19750157034113294,1.4839112758636475,0.7936519384384155
EYEPACS,MESSIDOR2,fixed_feather,123,0,Normal,171,0.5847953216374269,0.14760147601476015,0.7380073800738007,0.5847953216374269,0.0,0.8128654970760234,0.15756469494418093,1.0759536027908325,0.5869472026824951
EYEPACS,MESSIDOR2,fixed_feather,123,0,VeryBright,4,0.75,0.17142857142857143,0.8571428571428571,0.75,0.0,0.75,0.2762434706091881,0.8713403940200806,0.4672759771347046
EYEPACS,MESSIDOR2,fixed_feather,123,0,VeryDark,220,0.35,0.1037037037037037,0.5185185185185185,0.35,0.0,0.7,0.09337163499810479,1.4224644899368286,0.7431430220603943
EYEPACS,MESSIDOR2,fixed_feather,123,1,Bright,76,0.14473684210526316,0.05057471264367817,0.25287356321839083,0.14473684210526316,0.0,0.5526315789473685,0.3359193476407152,1.3859645128250122,0.8279208540916443
EYEPACS,MESSIDOR2,fixed_feather,123,1,Dark,86,0.13953488372093023,0.04897959183673469,0.24489795918367346,0.13953488372093023,0.0,0.4418604651162791,0.28600254784836326,1.6259649991989136,0.8603526949882507
EYEPACS,MESSIDOR2,fixed_feather,123,1,ExtremelyDark,6,0.16666666666666666,0.05714285714285714,0.2857142857142857,0.16666666666666666,0.0,0.5,0.2511262993017832,1.990133285522461,0.9191474318504333
EYEPACS,MESSIDOR2,fixed_feather,123,1,Normal,70,0.11428571428571428,0.041025641025641026,0.20512820512820512,0.11428571428571428,0.0,0.5428571428571428,0.3122162400611809,1.4116500616073608,0.7993648052215576
EYEPACS,MESSIDOR2,fixed_feather,123,1,VeryBright,6,0.16666666666666666,0.05714285714285714,0.2857142857142857,0.16666666666666666,0.0,0.5,0.2602212503552437,1.4644455909729004,0.7969316840171814
EYEPACS,MESSIDOR2,fixed_feather,123,1,VeryDark,26,0.19230769230769232,0.06451612903225806,0.3225806451612903,0.19230769230769232,0.0,0.46153846153846156,0.2549789066498096,1.780342936515808,0.8864587545394897
EYEPACS,MESSIDOR2,fixed_feather,123,2,Bright,87,0.4367816091954023,0.1216,0.608,0.4367816091954023,0.0,0.7011494252873564,0.12264042441872344,1.2770453691482544,0.6986913084983826
EYEPACS,MESSIDOR2,fixed_feather,123,2,Dark,109,0.6238532110091743,0.1536723163841808,0.768361581920904,0.6238532110091743,0.0,0.8165137614678899,0.22334980964660647,1.0658762454986572,0.5813314318656921
EYEPACS,MESSIDOR2,fixed_feather,123,2,ExtremelyDark,9,0.5555555555555556,0.14285714285714285,0.7142857142857143,0.5555555555555556,0.0,0.6666666666666666,0.3715169694688585,1.1600735187530518,0.6219097971916199
EYEPACS,MESSIDOR2,fixed_feather,123,2,Normal,106,0.5471698113207547,0.14146341463414633,0.7073170731707317,0.5471698113207547,0.0,0.7358490566037735,0.11263296064340846,1.1217836141586304,0.6103302836418152
EYEPACS,MESSIDOR2,fixed_feather,123,2,VeryBright,2,0.5,0.13333333333333333,0.6666666666666666,0.5,0.0,0.5,0.7043479382991791,1.9787225723266602,1.014136791229248
EYEPACS,MESSIDOR2,fixed_feather,123,2,VeryDark,34,0.6176470588235294,0.15272727272727274,0.7636363636363637,0.6176470588235294,0.0,0.7647058823529411,0.21868490296251633,1.0582380294799805,0.5666531324386597
EYEPACS,MESSIDOR2,fixed_feather,123,3,Bright,23,0.6086956521739131,0.15135135135135136,0.7567567567567568,0.6086956521739131,0.0,0.8260869565217391,0.2238761419835298,1.0108366012573242,0.5470903515815735
EYEPACS,MESSIDOR2,fixed_feather,123,3,Dark,20,0.6,0.15,0.75,0.6,0.0,0.85,0.21612135767936708,0.9124784469604492,0.4799595773220062
EYEPACS,MESSIDOR2,fixed_feather,123,3,ExtremelyDark,2,0.5,0.13333333333333333,0.6666666666666666,0.5,0.0,1.0,0.48602691292762756,0.7273567318916321,0.5039719343185425
EYEPACS,MESSIDOR2,fixed_feather,123,3,Normal,25,0.48,0.12972972972972974,0.6486486486486487,0.48,0.0,0.76,0.2518838894367218,1.273240089416504,0.6124752163887024
EYEPACS,MESSIDOR2,fixed_feather,123,3,VeryBright,1,1.0,0.2,1.0,1.0,,1.0,0.1648237705230713,0.18011252582073212,0.04382718354463577
EYEPACS,MESSIDOR2,fixed_feather,123,3,VeryDark,4,0.75,0.17142857142857143,0.8571428571428571,0.75,0.0,1.0,0.5060870572924614,0.8061867952346802,0.5042017102241516
