source_dataset,external_dataset,variant,seed,class,brightness_category,n,accuracy,macro_F1,weighted_F1,balanced_accuracy,QWK,top2_accuracy,ECE,NLL,Brier
EYEPACS,MESSIDOR2,hard_mask,42,0,Bright,117,0.6581196581196581,0.15876288659793814,0.7938144329896907,0.6581196581196581,0.0,0.9487179487179487,0.2146995824116927,0.9521260857582092,0.524559736251831
EYEPACS,MESSIDOR2,hard_mask,42,0,Dark,421,0.5819477434679335,0.14714714714714713,0.7357357357357357,0.5819477434679335,0.0,0.8741092636579573,0.15356891696073663,1.0675413608551025,0.5896428227424622
EYEPACS,MESSIDOR2,hard_mask,42,0,ExtremelyDark,84,0.5119047619047619,0.13543307086614173,0.6771653543307087,0.5119047619047619,0.0,0.7619047619047619,0.10160656450759797,1.1780096292495728,0.6471585035324097
EYEPACS,MESSIDOR2,hard_mask,42,0,Normal,171,0.6198830409356725,0.15306859205776174,0.7653429602888088,0.6198830409356725,0.0,0.8888888888888888,0.16582196070785413,0.9862224459648132,0.5454936027526855
EYEPACS,MESSIDOR2,hard_mask,42,0,VeryBright,4,1.0,0.2,1.0,1.0,,1.0,0.5218841582536697,0.755820095539093,0.39322468638420105
EYEPACS,MESSIDOR2,hard_mask,42,0,VeryDark,220,0.5681818181818182,0.14492753623188406,0.7246376811594203,0.5681818181818182,0.0,0.7909090909090909,0.15132510743357921,1.1837328672409058,0.6232618093490601
EYEPACS,MESSIDOR2,hard_mask,42,1,Bright,76,0.15789473684210525,0.05454545454545454,0.2727272727272727,0.15789473684210525,0.0,0.5921052631578947,0.34481132873579073,1.47270929813385,0.8505082130432129
EYEPACS,MESSIDOR2,hard_mask,42,1,Dark,86,0.09302325581395349,0.03404255319148936,0.1702127659574468,0.09302325581395349,0.0,0.4069767441860465,0.34384898772073347,1.670067310333252,0.876227617263794
EYEPACS,MESSIDOR2,hard_mask,42,1,ExtremelyDark,6,0.16666666666666666,0.05714285714285714,0.2857142857142857,0.16666666666666666,0.0,0.5,0.239411860704422,2.3362200260162354,0.8986771702766418
EYEPACS,MESSIDOR2,hard_mask,42,1,Normal,70,0.12857142857142856,0.04556962025316456,0.22784810126582278,0.12857142857142856,0.0,0.5571428571428572,0.3067217324461256,1.4133635759353638,0.7994264960289001
EYEPACS,MESSIDOR2,hard_mask,42,1,VeryBright,6,0.3333333333333333,0.1,0.5,0.3333333333333333,0.0,0.6666666666666666,0.505993202328682,1.3581572771072388,0.7543704509735107
EYEPACS,MESSIDOR2,hard_mask,42,1,VeryDark,26,0.23076923076923078,0.075,0.375,0.23076923076923078,0.0,0.4230769230769231,0.25820284451429665,1.899436116218567,0.9290501475334167
EYEPACS,MESSIDOR2,hard_mask,42,2,Bright,87,0.3793103448275862,0.11000000000000001,0.55,0.3793103448275862,0.0,0.632183908045977,0.1474334508523174,1.3676059246063232,0.7379782795906067
EYEPACS,MESSIDOR2,hard_mask,42,2,Dark,109,0.47706422018348627,0.12919254658385093,0.6459627329192547,0.47706422018348627,0.0,0.7798165137614679,0.1499061857888458,1.197473406791687,0.6643209457397461
EYEPACS,MESSIDOR2,hard_mask,42,2,ExtremelyDark,9,0.3333333333333333,0.1,0.5,0.3333333333333333,0.0,0.5555555555555556,0.19878062936994764,1.421337604522705,0.7745389938354492
EYEPACS,MESSIDOR2,hard_mask,42,2,Normal,106,0.41509433962264153,0.11733333333333333,0.5866666666666667,0.41509433962264153,0.0,0.7358490566037735,0.12661452528159575,1.2396814823150635,0.6791845560073853
EYEPACS,MESSIDOR2,hard_mask,42,2,VeryBright,2,0.5,0.13333333333333333,0.6666666666666666,0.5,0.0,1.0,0.39052556455135345,0.9488216638565063,0.4857025742530823
EYEPACS,MESSIDOR2,hard_mask,42,2,VeryDark,34,0.5882352941176471,0.14814814814814814,0.7407407407407407,0.5882352941176471,0.0,0.6764705882352942,0.18759370376082027,1.211694359779358,0.6424246430397034
EYEPACS,MESSIDOR2,hard_mask,42,3,Bright,23,0.7391304347826086,0.16999999999999998,0.85,0.7391304347826086,0.0,0.9565217391304348,0.2147977740868278,0.7326657772064209,0.3921753764152527
EYEPACS,MESSIDOR2,hard_mask,42,3,Dark,20,0.7,0.16470588235294117,0.8235294117647058,0.7,0.0,0.9,0.21153713017702103,0.6591029763221741,0.3267330825328827
EYEPACS,MESSIDOR2,hard_mask,42,3,ExtremelyDark,2,0.0,0.0,0.0,0.0,0.0,1.0,0.8444156348705292,2.1927099227905273,1.4984852075576782
EYEPACS,MESSIDOR2,hard_mask,42,3,Normal,25,0.6,0.15,0.75,0.6,0.0,0.84,0.18950909018516537,0.9025177955627441,0.4310398995876312
EYEPACS,MESSIDOR2,hard_mask,42,3,VeryBright,1,1.0,0.2,1.0,1.0,,1.0,0.16926008462905884,0.18543849885463715,0.040496475994586945
EYEPACS,MESSIDOR2,hard_mask,42,3,VeryDark,4,1.0,0.2,1.0,1.0,,1.0,0.41333340108394623,0.5391786098480225,0.2951236069202423
EYEPACS,MESSIDOR2,hard_mask,42,4,Bright,3,0.3333333333333333,0.1,0.5,0.3333333333333333,0.0,1.0,0.6114601492881775,1.3118120431900024,0.9013960957527161
EYEPACS,MESSIDOR2,hard_mask,42,4,Dark,14,0.7142857142857143,0.16666666666666669,0.8333333333333334,0.7142857142857143,0.0,0.7857142857142857,0.2557246280567987,0.8471605181694031,0.4410419762134552
EYEPACS,MESSIDOR2,hard_mask,42,4,ExtremelyDark,5,0.8,0.17777777777777776,0.888888888888889,0.8,0.0,0.8,0.4217962682247162,0.9012689590454102,0.4297020435333252
EYEPACS,MESSIDOR2,hard_mask,42,4,Normal,8,0.5,0.13333333333333333,0.6666666666666666,0.5,0.0,0.875,0.34846536070108414,1.2729159593582153,0.6856819987297058
EYEPACS,MESSIDOR2,hard_mask,42,4,VeryDark,5,0.6,0.15,0.75,0.6,0.0,0.6,0.23881195783615114,1.0109537839889526,0.4868036210536957
