source_dataset,external_dataset,variant,seed,class,brightness_category,n,accuracy,macro_F1,weighted_F1,balanced_accuracy,QWK,top2_accuracy,ECE,NLL,Brier
EYEPACS,MESSIDOR2,no_mask,42,0,Bright,117,0.7948717948717948,0.17714285714285713,0.8857142857142857,0.7948717948717948,0.0,0.9487179487179487,0.26628994279437596,0.7471776008605957,0.3995228409767151
EYEPACS,MESSIDOR2,no_mask,42,0,Dark,421,0.5486935866983373,0.14171779141104296,0.7085889570552147,0.5486935866983373,0.0,0.8693586698337292,0.08434730120481053,1.0651651620864868,0.5866003632545471
EYEPACS,MESSIDOR2,no_mask,42,0,ExtremelyDark,84,0.47619047619047616,0.12903225806451613,0.6451612903225806,0.47619047619047616,0.0,0.7619047619047619,0.08028548459211983,1.2072865962982178,0.6675421595573425
EYEPACS,MESSIDOR2,no_mask,42,0,Normal,171,0.7192982456140351,0.1673469387755102,0.8367346938775511,0.7192982456140351,0.0,0.9181286549707602,0.19102553334849617,0.8547255992889404,0.45606735348701477
EYEPACS,MESSIDOR2,no_mask,42,0,VeryBright,4,1.0,0.2,1.0,1.0,,1.0,0.46276164799928665,0.6621469855308533,0.32730522751808167
EYEPACS,MESSIDOR2,no_mask,42,0,VeryDark,220,0.5227272727272727,0.1373134328358209,0.6865671641791044,0.5227272727272727,0.0,0.7636363636363637,0.09574142017147758,1.2124096155166626,0.6402015686035156
EYEPACS,MESSIDOR2,no_mask,42,1,Bright,76,0.09210526315789473,0.033734939759036145,0.1686746987951807,0.09210526315789473,0.0,0.75,0.4527529248673665,1.467307686805725,0.9098091125488281
EYEPACS,MESSIDOR2,no_mask,42,1,Dark,86,0.09302325581395349,0.03404255319148936,0.1702127659574468,0.09302325581395349,0.0,0.4186046511627907,0.398081423064997,1.7125978469848633,0.9268137216567993
EYEPACS,MESSIDOR2,no_mask,42,1,ExtremelyDark,6,0.0,0.0,0.0,0.0,0.0,0.5,0.4798507442077001,1.9902582168579102,0.9460371136665344
EYEPACS,MESSIDOR2,no_mask,42,1,Normal,70,0.12857142857142856,0.04556962025316456,0.22784810126582278,0.12857142857142856,0.0,0.6285714285714286,0.3627350741199085,1.4499399662017822,0.8347675204277039
EYEPACS,MESSIDOR2,no_mask,42,1,VeryBright,6,0.16666666666666666,0.05714285714285714,0.2857142857142857,0.16666666666666666,0.0,0.8333333333333334,0.336341713865598,1.1132127046585083,0.6916053891181946
EYEPACS,MESSIDOR2,no_mask,42,1,VeryDark,26,0.07692307692307693,0.02857142857142857,0.14285714285714285,0.07692307692307693,0.0,0.46153846153846156,0.41175088572960633,1.826426386833191,0.9422160387039185
EYEPACS,MESSIDOR2,no_mask,42,2,Bright,87,0.2413793103448276,0.07777777777777778,0.3888888888888889,0.2413793103448276,0.0,0.6091954022988506,0.28240697102985163,1.4912165403366089,0.8329553604125977
EYEPACS,MESSIDOR2,no_mask,42,2,Dark,109,0.46788990825688076,0.1275,0.6375,0.46788990825688076,0.0,0.7247706422018348,0.1274338966115899,1.2602243423461914,0.6931928992271423
EYEPACS,MESSIDOR2,no_mask,42,2,ExtremelyDark,9,0.4444444444444444,0.12307692307692308,0.6153846153846154,0.4444444444444444,0.0,0.8888888888888888,0.42173257138993997,1.2487026453018188,0.7069160342216492
EYEPACS,MESSIDOR2,no_mask,42,2,Normal,106,0.3867924528301887,0.11156462585034013,0.5578231292517006,0.3867924528301887,0.0,0.7358490566037735,0.12890364412429198,1.2697683572769165,0.7086906433105469
EYEPACS,MESSIDOR2,no_mask,42,2,VeryBright,2,0.5,0.13333333333333333,0.6666666666666666,0.5,0.0,1.0,0.39309339225292206,0.8399220705032349,0.4393033981323242
EYEPACS,MESSIDOR2,no_mask,42,2,VeryDark,34,0.38235294117647056,0.11063829787234043,0.5531914893617021,0.38235294117647056,0.0,0.7058823529411765,0.1841539451304604,1.2218873500823975,0.6888732314109802
EYEPACS,MESSIDOR2,no_mask,42,3,Bright,23,0.6956521739130435,0.1641025641025641,0.8205128205128205,0.6956521739130435,0.0,0.782608695652174,0.27639858554238855,0.9193397164344788,0.46459177136421204
EYEPACS,MESSIDOR2,no_mask,42,3,Dark,20,0.75,0.17142857142857143,0.8571428571428571,0.75,0.0,0.8,0.18402073979377748,0.8218315243721008,0.3618425130844116
EYEPACS,MESSIDOR2,no_mask,42,3,ExtremelyDark,2,1.0,0.2,1.0,1.0,,1.0,0.280843585729599,0.35849305987358093,0.14522749185562134
EYEPACS,MESSIDOR2,no_mask,42,3,Normal,25,0.64,0.15609756097560976,0.7804878048780488,0.64,0.0,0.76,0.15249035716056825,1.085801124572754,0.5049722194671631
EYEPACS,MESSIDOR2,no_mask,42,3,VeryBright,1,1.0,0.2,1.0,1.0,,1.0,0.0446934700012207,0.04572301730513573,0.0026430506259202957
EYEPACS,MESSIDOR2,no_mask,42,3,VeryDark,4,0.5,0.13333333333333333,0.6666666666666666,0.5,0.0,1.0,0.1884072721004486,0.7252734303474426,0.4574854075908661
EYEPACS,MESSIDOR2,no_mask,42,4,Bright,3,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8424056172370911,3.0113394260406494,1.5494543313980103
EYEPACS,MESSIDOR2,no_mask,42,4,Dark,14,0.5,0.13333333333333333,0.6666666666666666,0.5,0.0,0.7857142857142857,0.2847927744899477,1.1011155843734741,0.5615931749343872
EYEPACS,MESSIDOR2,no_mask,42,4,ExtremelyDark,5,0.0,0.0,0.0,0.0,0.0,0.2,0.4430739045143127,2.2623109817504883,1.110829472541809
EYEPACS,MESSIDOR2,no_mask,42,4,Normal,8,0.375,0.10909090909090909,0.5454545454545454,0.375,0.0,0.5,0.45736029744148254,2.269887924194336,0.9269453287124634
